type_cv,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,1,0,0,536,999,90.0,88.0,85.10000000000001,82.9,90.0,88.0,85.10000000000001,82.9
NCL,2,0,0,536,999,90.0,88.0,85.10000000000001,82.9,85.0,83.0,79.4,79.95
NCL,3,2,2,131,999,93.0,91.0,88.60000000000001,84.60000000000001,87.66666666666667,85.66666666666667,82.46666666666668,81.5
NCL,4,3,2,90,999,97.0,91.0,86.0,86.9,90.0,87.0,83.35000000000001,82.85
NCL,5,3,2,90,999,97.0,91.0,86.0,86.9,90.2,87.2,83.80000000000001,82.75999999999999
NCL,6,3,2,90,999,97.0,91.0,86.0,86.9,90.0,87.33333333333333,84.2,82.89999999999999
NCL,7,3,2,90,999,97.0,91.0,86.0,86.9,90.0,87.28571428571429,84.11428571428573,83.0
NCL,8,3,2,90,999,97.0,91.0,86.0,86.9,90.0,86.75,84.36250000000001,83.0625
NCL,9,3,2,90,999,97.0,91.0,86.0,86.9,90.0,86.88888888888889,84.36666666666667,83.06666666666666
NCL,10,3,2,90,999,97.0,91.0,86.0,86.9,89.9,86.6,84.09,82.83000000000001
